OPTZ_PLN_ID,PROJ_NO,BLK_NO,WSTG_CODE,LEAD_TIME,EXEC_PLN_SD,EXEC_PLN_FD,ISS_AVAL_DATE,CROT_DEDL_DATE,CROT_TOLR_DATE,MAX_DLAY_AVAL_DATE,BLK_LNTH,BLK_BDTH,PRIORITY,ROTATE_INDC,LONG_LEAD_TIME_INDC,COMB_BLK_INDC,COMB_BLK_INCD_BLK_QTY,FIX_INDC,OPTZ_PLN_INCL_INDC
2539_20250918_3W_C03_NPS_3BAY_04,2579,183,R1G9,4,20250912,20250918,20250915,20250917,20250918,20250924,10.0,10.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2585,824,R1G9,3,20250911,20250916,20250915,20250917,20250918,20250923,12.0,18.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,7062,221,G9G9,26,20250827,20251001,20250915,20251001,20251002,20251002,16.0,15.0,1,1,1,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2575,183,G9G9,2,20250911,20250916,20250915,20250917,20250918,20250922,10.0,18.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2579,639,H2G9,3,20250915,20250918,20250915,20250918,20250918,20250918,10.0,10.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2579,132,G9G9,3,20250915,20250919,20250915,20250918,20250919,20250919,21.0,11.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2575,193,G9G9,2,20250911,20250916,20250915,20250917,20250918,20250922,10.0,16.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2593,113,G9G9,3,20250919,20250925,20250918,20250924,20250925,20250925,23.0,21.0,1,1,0,0,1.0,0,1
2539_20250918_3W_C03_NPS_3BAY_04,2585,834,R1G9,4,20250912,20250918,20250915,20250917,20250918,20250924,11.0,18.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,5511,109,G9G9,3,20250915,20250919,20250915,20250918,20250919,20250919,18.0,22.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,7062,243,G9G9,17,20250912,20251010,20250915,20250917,20250918,20251017,10.0,10.0,1,1,1,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2579,629,H2G9,3,20250915,20250918,20250915,20250918,20250918,20250918,20.0,15.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2593,113,G8G9,3,20250915,20250918,20250915,20250918,20250918,20250918,10.0,21.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2370,834,G9G9,3,20250909,20250915,20250915,20250916,20250917,20250922,18.0,13.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2579,122,G9G9,3,20250915,20250919,20250915,20250918,20250919,20250919,21.0,11.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2584,113,G9G9,3,20250923,20250929,20250922,20250926,20250929,20250929,23.0,21.0,1,1,0,0,1.0,0,1
2539_20250918_3W_C03_NPS_3BAY_04,2586,183,G9G9,3,20250912,20250918,20250915,20250917,20250918,20250923,10.0,19.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2594,113,G9G9,3,20251016,20251022,20251015,20251021,20251022,20251022,21.0,23.0,1,1,0,0,1.0,0,1
2539_20250918_3W_C03_NPS_3BAY_04,2579,193,R1G9,4,20250912,20250918,20250915,20250917,20250918,20250924,10.0,10.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2586,844,R1G9,4,20250916,20250922,20250915,20250922,20250922,20250922,12.0,14.0,2,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2576,805,G9G9,2,20250912,20250917,20250915,20250917,20250918,20250922,15.0,9.0,1,1,0,0,1.0,1,1
2539_20250918_3W_C03_NPS_3BAY_04,2586,193,G9G9,3,20250912,20250918,20250915,20250917,20250918,20250923,10.0,17.0,1,1,0,0,1.0,1,1
