"OPTZ_PLN_ID","JIG_CODE","OPTZ_JIG_CODE","OPTZ_JIG_CLSF"
"2539_20250918_3W_C03_NPS_3BAY_04","J05D","J05D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07C","J06DJ08AJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J10C","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07B","J08AJ08BJ08CJ08DJ07BJ07C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08C","J06AJ06BJ06CJ06DJ08AJ08BJ08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07B","J08AJ08DJ10AJ07AJ07BJ07CJ07DJ09AJ09B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05C","J06AJ06DJ05AJ05BJ05CJ05D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08C","J08AJ08BJ08CJ08DJ10AJ10BJ07BJ07CJ09B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05C","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J11C","J11C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03A","J04AJ04DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06C","J06CJ06DJ08AJ08BJ08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01B","J01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03C","J03C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05C","J06AJ06BJ06CJ06DJ05BJ05C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01D","J02DJ04AJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ07BJ07C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02A","J02A","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01C","J02AJ02DJ04AJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05C","J05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03A","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01B","J02AJ02BJ02CJ02DJ01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J42B","J41AJ41BJ41CJ41DJ42BJ42C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01A","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04B","J02AJ02BJ02CJ02DJ04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04B","J04B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07A","J05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04A","J02AJ02DJ04AJ01AJ01BJ01CJ01DJ03AJ03B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04A","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08B","J06AJ06BJ06CJ06DJ08AJ08BJ05BJ05CJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J09B","J10AJ10DJ09AJ09BJ09CJ09D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J03B","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J10B","J10AJ10BJ10CJ10DJ11AJ11BJ11CJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07C","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J07B","J08AJ08DJ07AJ07BJ07CJ07D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J08A","J06CJ06DJ08AJ08BJ08CJ08D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J01C","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ03BJ03C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06D","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ07BJ07C","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J05B","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J02A","J02AJ02BJ02CJ02DJ04AJ04B","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J04A","J02AJ02BJ02CJ02DJ04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_04","J06B","J06AJ06BJ06CJ06DJ08AJ08B","1"
