"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","LEAD_TIME","EXEC_PLN_SD","EXEC_PLN_FD","ISS_AVAL_DATE","CROT_DEDL_DATE","CROT_TOLR_DATE","MAX_DLAY_AVAL_DATE","BLK_LNTH","BLK_BDTH","PRIORITY","ROTATE_INDC","LONG_LEAD_TIME_INDC","COMB_BLK_INDC","COMB_BLK_INCD_BLK_QTY","FIX_INDC","OPTZ_PLN_INCL_INDC"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","221","G9G9","26","20250827","20251001","20250915","20251001","20251002","20251002","16.0","15.0","1","1","1","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","G9G9","3","20251016","20251022","20251015","20251021","20251022","20251022","14.0","21.0","1","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H6G9","5","20250919","20250926","20250918","20250926","20250926","20250926","10.0","10.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","5511","155","G9G9","3","20250918","20250924","20250917","20250923","20250924","20250924","13.0","15.0","1","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","R1G9","4","20250930","20251010","20250929","20251010","20251010","20251010","10.0","10.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","132","R1G9","4","20251016","20251022","20251015","20251022","20251022","20251022","4.0","17.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","G9G9","3","20251009","20251015","20251002","20251014","20251015","20251015","13.0","15.0","1","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2377","114","R1G9","4","20250930","20251010","20250929","20251010","20251010","20251010","4.0","21.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","224","H8G9","3","20250925","20250930","20250924","20250930","20250930","20250930","10.0","10.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","824","G9G9","3","20251014","20251020","20251013","20251017","20251020","20251020","15.0","14.0","1","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","113","G8G9","3","20250917","20250922","20250916","20250922","20250922","20250922","10.0","21.0","2","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","243","G9G9","17","20250912","20251010","20250915","20250917","20250918","20251017","10.0","10.0","1","1","1","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","629","H2G9","3","20250915","20250918","20250915","20250918","20250918","20250918","20.0","15.0","2","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","834","R1G9","4","20250925","20251001","20250924","20251001","20251001","20251001","11.0","18.0","2","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","H4H6","2","20250924","20250928","20250923","20250926","20250929","20250929","10.0","10.0","3","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H4H6","3","20250919","20250924","20250918","20250924","20250924","20250924","10.0","10.0","3","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","227","H8G9","3","20250918","20250923","20250917","20250923","20250923","20250923","10.0","10.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","G9G9","3","20251016","20251022","20251015","20251021","20251022","20251022","17.0","16.0","1","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R1G9","7","20250918","20250926","20250917","20250926","20250929","20250929","10.0","10.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R3G9","7","20250918","20250926","20250917","20250926","20250929","20250929","10.0","10.0","2","1","0","0","1.0","0","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","183","R1G9","4","20250912","20250918","20250915","20250917","20250918","20250924","10.0","10.0","2","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","668","G9G9","3","20251016","20251022","20251015","20251021","20251022","20251022","17.0","16.0","1","1","0","0","1.0","1","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","639","H2G9","3","20250915","20250918","20250915","20250918","20250918","20250918","10.0","10.0","2","1","0","0","1.0","1","1"
