"OPTZ_PLN_ID","WORK_DATE","WORK_TYPE","WORK_CLSF","WORK_DATE_SEQ","WORK_CLSF_SEQ","WORK_DATE_TYPE"
"2539_20250918_3W_C03_NPS_3BAY_06","20251028","3","N","44.0","88.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251029","3","B","45.0","89.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251029","3","A","45.0","90.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251029","3","N","45.0","91.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251030","3","B","46.0","92.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251030","3","A","46.0","93.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251030","3","N","46.0","94.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251031","3","B","47.0","95.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251031","3","A","47.0","96.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251031","3","N","47.0","97.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250919","2","N","5.0","10.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251103","3","B","50.0","98.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250920","2","B","6.0","11.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20251103","3","A","50.0","99.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250920","2","N","6.0","12.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250922","2","B","8.0","13.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250922","2","N","8.0","14.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250923","2","B","9.0","15.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250923","2","N","9.0","16.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250924","2","B","10.0","17.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250924","2","N","10.0","18.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250925","2","B","11.0","19.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250915","2","B","1.0","1.0","11"
"2539_20250918_3W_C03_NPS_3BAY_06","20250915","2","N","1.0","2.0","11"
