"OPTZ_PLN_ID","CPLX_CNST_CODE","CPLX_CNST_DESC","USE_INDC"
"2539_20250918_3W_C03_NPS_3BAY_06","cstCraneOutCapa","The crane's outbound capacity is not exceeded","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstStartEndRelation","The completion time is determined based on the start time and the processing duration on the same work plate","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstEarliness","Earliness per block is calculated as the difference between the due period and the block's processing completion period","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstFixedBlock","The schedule is established for blocks with fixed start times and work plates","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstLeadTime","Blocks enforce tAPt once processing starts, it continues for the designated processing duration","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstInitialStatus","At the initial period, the relationship between the block's start status and processing is established","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstSerialBlock","A schedule is generated for blocks tAPt must be processed in a serial order on the same work plate","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstBlockStart","All given blocks can begin processing on only one work plate at a time","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstCannotProcess","Blocks can be processed only within the period between the earliest possible start date and the maximum limit completion date","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstProcessRelation","The relationship between the start time, completion time, and processing duration is defined","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstCraneInCapa","The crane's inbound capacity is not exceeded","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstCompletionTime","The completion time of the block's processing is calculated","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstUtilization","The utilization per work plate is calculated","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstBlockProcess","A work plate can process up to one block at a time","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstProducibility","Blocks are scheduled only on work plates tAPt are available for processing","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstAdjPlate","Blocks are assigned to ensure tAPt work plates are not duplicated","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstBlockEnd","All given blocks can complete processing on only one work plate at a time","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstCompletionLimit","The block's processing must be completed by the maximum limit completion date","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstCannotStart","All blocks can be started only after the earliest possible start date","1"
"2539_20250918_3W_C03_NPS_3BAY_06","cstTardiness","Tardiness per block is calculated as the difference between the due period and the block's processing completion period","1"
