"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J06BJ06C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","H4H6","J04AJ04BJ04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","H6G9","J41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J07C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","676","H6G9","J41CJ41D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J07A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J02AJ02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","113","G9G9","J04CJ04D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J07D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2575","834","G9G9","J02AJ02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","R1G9","J11AJ11D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","678","H4H6","J10BJ10C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","R1G9","J11AJ11B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","183","R1G9","J06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","639","H2G9","J06CJ06D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J02D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J02C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J02B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2579","193","G9G9","J10BJ10C","0"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","678","H4H6","J02A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J08C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J08D","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2585","824","R1G9","J07AJ07B","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J08A","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","667","H6G9","J01BJ01C","1"
"2539_20250918_3W_C03_NPS_3BAY_06","2594","666","H6G9","J08B","1"
