"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","AVAL_INDC","ROTATION_STATUS","MIN_SIZE_GAP","FINAL_STATUS"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J05D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J41A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J05B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J05C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J02CJ02DJ04AJ04BJ04CJ04DJ01CJ01DJ03AJ03BJ03CJ03D","1","1","36.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J41D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J41B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J41C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","5511","109","G9G9","J06DJ08AJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","22.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J08AJ08DJ07AJ07BJ07CJ07D","1","1","19.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","193","R1G9","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","1","1","50.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J09D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J09C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J09B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J09A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","824","R1G9","J01AJ01BJ01CJ01DJ03AJ03BJ03CJ03D","1","1","26.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J06A","1","1","0.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J06B","1","1","0.0","1"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","221","G9G9","J08AJ08DJ07AJ07BJ07CJ07D","1","1","19.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J06AJ06DJ08AJ05AJ05BJ05CJ05DJ07AJ07B","1","1","30.5","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J02AJ02BJ02CJ02DJ04AJ04BJ04CJ04D","1","2","29.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J42A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J04C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J42B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J04D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","221","G9G9","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","1","1","28.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J04A","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","132","G9G9","J02AJ02DJ04AJ01AJ01BJ01CJ01DJ03AJ03B","1","1","27.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","193","G9G9","J04B","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","7062","243","G9G9","J41AJ41BJ41CJ41DJ06AJ06BJ06CJ06D","1","1","39.0","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J42C","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J42D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2594","113","G9G9","J06CJ06DJ08AJ08BJ08CJ08D","1","0","99999.9","0"
"2539_20250918_3W_C03_NPS_3BAY_04","2593","113","G9G9","J08AJ08BJ08CJ08DJ10AJ10BJ10CJ10D","1","0","99999.9","0"
