"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_JIG_CODE","JIG_CODE","LEAD_TIME","EXEC_PLN_SD","EXEC_PLN_FD","ISS_AVAL_DATE","CROT_DEDL_DATE","CROT_TOLR_DATE","MAX_DLAY_AVAL_DATE","PRIORITY","ADJT_PRIORITY","WORK_ST_DATE","WORK_ST_CLSF","WORK_END_DATE","WORK_END_CLSF","ROTATE_INDC","FIX_BLK_INDC","OPTZ_FIX_TYPE_CLSF","EARL_END_DAYS_DATE","DLAY_END_DAYS_DATE","EARL_END_DAYS_PRD","DLAY_END_DAYS_PRD"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J07C","J07C","4","20250912","20250918","20250915","20250917","20250918","20250924","2","1","20250912","B","20250917","N","1","1","1","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41AJ41BJ41CJ41DJ42BJ42C","J41B","3","20250923","20250929","20250922","20250926","20250929","20250929","1","2","20250924","B","20250926","N","2","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41AJ41BJ41CJ41DJ42BJ42C","J41C","3","20250923","20250929","20250922","20250926","20250929","20250929","1","2","20250924","B","20250926","N","2","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41AJ41BJ41CJ41DJ42BJ42C","J41D","3","20250923","20250929","20250922","20250926","20250929","20250929","1","2","20250924","B","20250926","N","2","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","183","G9G9","J41D","J41D","3","20250912","20250918","20250915","20250917","20250918","20250923","1","2","20250912","B","20250916","N","1","1","1","1.0","0.0","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J11C","J11C","4","20250916","20250922","20250915","20250922","20250922","20250922","2","1","20250916","B","20250919","N","1","1","1","3.0","0.0","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41AJ41BJ41CJ41DJ42BJ42C","J41A","3","20250923","20250929","20250922","20250926","20250929","20250929","1","2","20250924","B","20250926","N","2","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","183","G9G9","J06A","J06A","2","20250911","20250916","20250915","20250917","20250918","20250922","1","2","20250911","B","20250912","N","1","1","1","3.0","0.0","6.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","844","R1G9","J11B","J11B","4","20250916","20250922","20250915","20250922","20250922","20250922","2","1","20250916","B","20250919","N","1","1","1","3.0","0.0","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2576","805","G9G9","J03B","J03B","2","20250912","20250917","20250915","20250917","20250918","20250922","1","2","20250912","B","20250915","N","1","1","1","2.0","0.0","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J01C","J01C","3","20250909","20250915","20250915","20250916","20250917","20250922","1","2","20250910","B","20250912","N","1","1","1","2.0","0.0","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2586","183","G9G9","J41C","J41C","3","20250912","20250918","20250915","20250917","20250918","20250923","1","2","20250912","B","20250916","N","1","1","1","1.0","0.0","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2579","122","G9G9","J07B","J07B","3","20250915","20250919","20250915","20250918","20250919","20250919","1","2","20250916","B","20250918","N","1","1","1","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","5511","109","G9G9","J05D","J05D","3","20250915","20250919","20250915","20250918","20250919","20250919","1","2","20250916","B","20250918","N","1","1","1","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41AJ41BJ41CJ41DJ42BJ42C","J42C","3","20250923","20250929","20250922","20250926","20250929","20250929","1","2","20250924","B","20250926","N","2","0","0","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","824","R1G9","J08C","J08C","3","20250911","20250916","20250915","20250917","20250918","20250923","2","1","20250910","B","20250912","N","1","1","1","3.0","0.0","6.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2575","183","G9G9","J06B","J06B","2","20250911","20250916","20250915","20250917","20250918","20250922","1","2","20250911","B","20250912","N","1","1","1","3.0","0.0","6.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J01A","J01A","3","20250909","20250915","20250915","20250916","20250917","20250922","1","2","20250910","B","20250912","N","1","1","1","2.0","0.0","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2370","834","G9G9","J01D","J01D","3","20250909","20250915","20250915","20250916","20250917","20250922","1","2","20250910","B","20250912","N","1","1","1","2.0","0.0","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2585","834","R1G9","J07B","J07B","4","20250912","20250918","20250915","20250917","20250918","20250924","2","1","20250912","B","20250917","N","1","1","1","0.0","0.0","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2576","805","G9G9","J03C","J03C","2","20250912","20250917","20250915","20250917","20250918","20250922","1","2","20250912","B","20250915","N","1","1","1","2.0","0.0","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_04","2584","113","G9G9","J41AJ41BJ41CJ41DJ42BJ42C","J42B","3","20250923","20250929","20250922","20250926","20250929","20250929","1","2","20250924","B","20250926","N","2","0","0","0.0","0.0","0.0","0.0"
