"OPTZ_PLN_ID","WORK_DATE","WORK_CLSF","OPTZ_JIG_CODE","JIG_CODE","PROJ_NO","BLK_NO","WSTG_CODE","WORK_STUS_CODE"
"2539_20250918_3W_C03_NPS_3BAY_04","20251016","B","J05B","J05B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J02A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251010","A","J05D","J05D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J02B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J02C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J02D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J06D","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250918","B","J06CJ06DJ08AJ08BJ08CJ08DJ05CJ05DJ07AJ07BJ07CJ07D","J06C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250930","B","J05A","J05A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251023","N","J10AJ10BJ10CJ10DJ09BJ09C","J09B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251023","N","J10AJ10BJ10CJ10DJ09BJ09C","J09C","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J03A","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20250924","B","J02AJ02BJ02CJ02DJ04AJ04BJ01AJ01BJ01CJ01DJ03AJ03B","J03B","","","",""
"2539_20250918_3W_C03_NPS_3BAY_04","20251029","A","J06AJ06BJ06CJ06DJ08AJ08BJ08CJ08D","J06D","","","",""
