"OPTZ_PLN_ID","SHOP_CODE","BAY_CODE","WORK_DATE","WORK_CLSF","CARY_IN_QTY","CARY_OUT_QTY"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251008","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251030","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251027","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251030","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251023","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250916","N","0.0","2.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251008","A","3.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251008","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250927","B","3.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251027","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251030","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251027","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251023","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251023","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250923","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251015","N","0.0","3.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250924","N","0.0","2.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250916","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251015","B","2.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251015","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251009","N","0.0","2.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251028","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251031","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251031","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251001","N","0.0","8.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251024","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250915","N","0.0","1.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251009","B","4.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251020","N","0.0","2.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20250919","N","0.0","1.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251009","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251028","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251028","A","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251031","N","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251001","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251024","B","0.0","0.0"
"2539_20250918_3W_C03_NPS_3BAY_06","NPS","3BAY","20251024","A","0.0","0.0"
