"OPTZ_PLN_ID","PROJ_NO","BLK_NO","WSTG_CODE","OPTZ_UNPL_RSN"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H6G9","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H4H6","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","2584","227","H8G9","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","122","R1G9","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","2586","854","R1G9","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","665","H4H6","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","132","R1G9","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","2593","675","H6G9","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R1G9","No Solution"
"2539_20250918_3W_C03_NPS_3BAY_06","7062","122","R3G9","No Solution"
